,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-23,13:48:56,OLYLO Direct,"$3,299.00",FBA,In stock.,8,5.0,57,57→81→74→106→110→127→142→24→34→28→37→47→78→57→
2,2022-06-23,13:45:28,MWE Tech,"$2,799.00",FBM,1,24,4.3,83,48→38→44→42→46→64→80→129→146→146→152→168→180→83→
3,2022-06-23,13:46:38,AchhaGo US,"$2,199.00",FBA,In Stock.,5,4.8,89,87→109→154→178→187→75→102→161→181→191→196→204→214→89→
4,2022-06-23,13:41:45,Looline,"$2,199.00",FBA,1,6,3.8,94,474→474→480→487→488→488→493→503→504→508→513→524→525→94→
5,2022-06-23,13:47:49,Looline,"$2,199.00",FBA,1,6,3.8,94,378910→379929→381360→385036→385895→387567→388468→503→504→508→513→524→525→94→
6,2022-06-23,14:03:38,Looline,"$2,199.00",FBA,1,6,3.8,94,474→474→480→487→488→488→493→503→504→508→513→524→525→94→
7,2022-06-23,13:43:44,OLYLO Direct,"$2,499.00",FBA,5,8,5.0,101,148→163→75→146→150→172→190→228→238→249→259→305→315→101→
8,2022-06-23,13:43:09,OLYLO Direct,"$2,380.00",FBA,In Stock.,8,5.0,103,175→187→218→241→245→257→262→135→53→68→94→121→61→103→
9,2022-06-23,14:00:13,OLYLO Direct,"$2,799.00",FBA,In Stock.,8,5.0,119,88→113→87→128→130→147→164→202→215→224→236→252→262→119→
10,2022-06-23,13:43:27,MWE Tech,"$2,199.00",FBA,In Stock.,24,4.3,132,76→96→66→59→65→88→106→154→172→170→168→61→45→132→
11,2022-06-23,13:55:34,MWE Tech,"$2,499.00",FBA,17,24,4.3,134,256→70→61→58→67→45→62→57→37→46→58→71→99→134→
12,2022-06-23,14:01:04,Looline,"$2,399.00",FBA,13,6,3.8,143,546→548→554→557→558→560→562→573→575→578→580→588→88→143→
13,2022-06-23,13:56:09,TYTY USA,"$1,395.00",FBA,17,11,3.5,172,390→394→399→404→405→410→414→428→428→434→441→85→126→172→
14,2022-06-23,13:46:03,HARZHI,"$2,499.00",FBA,6,10,3.8,186,9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→186→
15,2022-06-23,13:44:36,MWE Tech,"$3,299.00",FBA,20,24,4.3,223,361→361→368→373→369→370→376→386→107→123→155→180→198→223→
16,2022-06-23,13:54:56,OLYLO Direct,"$2,199.00",FBA,5,8,5.0,232,485→487→485→489→489→489→491→500→113→132→161→186→203→232→
17,2022-06-23,14:04:30,YC technology,"$2,399.00",FBA,12,13,4.0,245,232→235→250→267→268→276→282→121→156→173→192→214→227→245→
18,2022-06-23,13:55:51,WAHER,"$2,199.00",FBA,In Stock.,10,3.9,250,389→390→395→399→399→403→408→104→138→158→179→202→225→250→
19,2022-06-23,13:44:19,MWE Tech,"$2,380.00",FBA,In Stock.,24,4.3,282,207→215→52→60→148→169→185→201→231→241→249→266→275→282→
20,2022-06-23,13:54:02,WAHER,"$2,399.00",FBA,16,10,3.9,307,220→69→133→169→176→192→205→241→252→260→268→286→296→307→
21,2022-06-23,14:01:38,MWE Tech,"$2,999.00",FBA,9,24,4.3,383,185→198→227→250→256→268→276→305→316→324→333→357→369→383→
22,2022-06-23,13:54:39,YC technology,"$2,199.00",FBA,10,13,4.0,414,246→256→275→296→300→311→321→346→357→368→377→394→401→414→
23,2022-06-23,13:57:54,YC technology,"$2,799.00",FBA,15,13,4.0,487,334→339→455→454→454→456→458→468→470→473→475→486→484→487→
24,2022-06-23,13:46:20,Zlpower,"$1,899.00",FBM,In stock.,24,4.3,590,548→550→555→561→563→565→566→570→576→579→583→591→591→590→
25,2022-06-23,13:44:00,MWE Tech,"$1,899.00",FBA,5,24,4.3,613,565→568→573→576→577→580→581→586→594→598→603→610→611→613→
26,2022-06-23,13:50:57,HERBSASY,"$2,799.00",FBA,0,3,5.0,652,610→611→619→620→620→621→622→634→635→640→644→650→650→652→
27,2022-06-23,13:47:13,TYTY USA,"$2,099.00",FBA,10,11,3.5,658,655→655→655→654→654→653→653→654→654→655→658→658→659→658→
28,2022-06-23,13:57:36,YC technology,"$3,299.00",FBA,9,13,4.0,659,246→256→275→296→300→311→321→346→357→368→377→394→658→659→
29,2022-06-23,14:03:21,WAHER,"$2,499.00",FBA,6,10,3.9,667,627→629→636→637→638→640→640→652→653→655→659→666→665→667→
30,2022-06-23,14:02:31,OLYLO Direct,"$2,199.00",FBA,3,8,5.0,678,625→626→633→636→637→641→643→653→656→660→662→673→674→678→
