,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-28,17:20:18,MWE Tech,"$2,380.00",FBA,In Stock.,25,4.2,86,129→146→179→54→68→93→113→50→50→86→86→86→86→86→
2,2022-06-28,17:31:56,MWE Tech,"$2,799.00",FBM,1,25,4.2,132,30→20→46→58→68→79→95→128→128→132→132→132→132→132→
3,2022-06-28,17:43:46,WAHER,"$2,199.00",FBA,In Stock.,12,4.0,142,496→502→506→509→507→506→508→80→80→142→142→142→142→
4,2022-06-28,17:27:51,OLYLO Direct,"$2,499.00",FBA,3,8,5.0,151,224→236→254→266→276→287→70→97→97→151→151→151→151→151→
5,2022-06-28,17:25:32,OLYLO Direct,"$2,380.00",FBA,In Stock.,8,5.0,154,211→222→242→250→255→264→44→110→110→154→154→154→154→154→
6,2022-06-28,17:29:17,MWE Tech,"$2,199.00",FBA,In Stock.,25,4.2,156,64→86→41→21→39→98→143→157→157→156→156→156→156→156→
7,2022-06-28,17:24:22,MWE Tech,"$2,999.00",FBA,12,25,4.2,166,483→491→503→507→509→512→76→107→107→166→166→166→166→166→
8,2022-06-28,17:22:37,TYTY USA,"$1,395.00",FBA,15,11,3.5,175,177→195→218→232→244→49→77→138→138→175→175→175→175→175→
9,2022-06-28,17:44:58,AchhaGo US,"$2,199.00",FBA,In Stock.,6,4.8,186,128→142→81→103→115→128→164→175→175→186→186→186→186→186→
10,2022-06-28,17:30:09,MWE Tech,"$3,299.00",FBA,In Stock.,25,4.2,201,161→171→60→83→102→125→146→180→180→180→201→201→201→201→
11,2022-06-28,17:36:24,MWE Tech,"$2,499.00",FBA,14,25,4.2,217,42→66→116→137→141→152→165→204→204→217→217→217→217→217→
12,2022-06-28,17:36:59,Looline,"$2,399.00",FBA,12,6,3.8,239,348→356→89→113→140→160→201→215→215→239→239→239→239→239→
13,2022-06-28,17:23:12,Looline,"$2,399.00",FBA,12,6,3.8,239,348→356→89→113→140→160→201→215→215→239→239→239→239→239→
14,2022-06-28,17:38:44,Looline,"$2,399.00",FBA,12,6,3.8,239,348→356→89→113→132→160→179→215→215→239→239→239→239→239→
15,2022-06-28,17:39:36,Looline,"$2,399.00",FBA,12,6,3.8,239,348→356→89→113→140→160→201→215→215→239→239→239→239→
16,2022-06-28,17:46:09,YC technology,"$3,299.00",FBA,12,14,4.0,277,690→79→139→167→187→203→217→252→252→277→277→277→277→277→
17,2022-06-28,17:36:07,WAHER,"$2,399.00",FBA,15,12,4.0,306,174→188→217→231→242→252→260→288→288→306→306→306→306→306→
18,2022-06-28,17:32:31,OLYLO Direct,"$2,799.00",FBA,In Stock.,8,5.0,371,236→246→265→275→278→283→305→312→312→371→371→371→371→371→
19,2022-06-28,17:43:29,YC technology,"$2,380.00",FBA,11,14,4.0,386,344→350→360→358→364→368→373→381→381→386→386→386→386→386→
20,2022-06-28,17:28:42,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,406,94→112→142→153→154→28→42→58→58→91→406→406→406→406→
21,2022-06-28,17:45:51,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,406,306→316→336→341→349→355→376→386→386→406→406→406→406→406→
22,2022-06-28,17:22:19,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,406,306→316→336→341→349→355→367→386→386→406→406→406→406→406→
23,2022-06-28,17:41:04,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,406,306→316→336→341→349→355→376→386→386→406→406→406→406→406→
24,2022-06-28,17:19:04,OLYLO Direct,"$2,199.00",FBA,2,8,5.0,406,306→316→336→341→471→1063→1065→1071→1071→1073→1073→406→406→406→
25,2022-06-28,17:25:14,YC technology,"$2,799.00",FBA,In Stock.,14,4.0,535,515→520→521→524→525→529→529→536→536→535→535→535→535→535→
26,2022-06-28,17:46:27,OLYLO Direct,"$2,199.00",FBA,4,8,5.0,587,382→391→565→569→573→574→578→587→587→587→587→587→587→587→
27,2022-06-28,17:31:20,Zlpower,"$1,899.00",FBM,In stock.,25,4.3,635,612→616→619→624→627→625→627→634→634→635→635→635→635→635→
28,2022-06-28,17:37:51,TYTY USA,"$2,099.00",FBA,9,11,3.5,661,659→659→659→660→661→661→661→661→661→661→661→661→661→661→
29,2022-06-28,17:24:39,MWE Tech,"$1,899.00",FBA,5,25,4.2,686,658→660→665→668→672→673→675→680→680→680→686→686→686→686→
30,2022-06-28,17:26:58,HERBSASY,"$2,799.00",FBA,1,3,5.0,695,675→676→680→686→686→686→688→695→695→695→695→695→695→695→
